proposed,baseline,wins,ties,losses,n,ptype,metric,noise
PreOrder__Subset__None,clr,2,0,6,8,BinaryVector,micro_precision,0.0
ecc,br,3,0,5,8,BinaryVector,micro_precision,0.0
ecc,cc,6,0,2,8,BinaryVector,micro_precision,0.0
ecc,clr,3,0,5,8,BinaryVector,micro_precision,0.0
lp,br,0,0,8,8,BinaryVector,micro_precision,0.0
lp,cc,0,0,8,8,BinaryVector,micro_precision,0.0
lp,clr,3,0,5,8,BinaryVector,micro_precision,0.0
mlknn,br,0,0,8,8,BinaryVector,micro_precision,0.0
mlknn,cc,0,0,8,8,BinaryVector,micro_precision,0.0
mlknn,clr,3,0,5,8,BinaryVector,micro_precision,0.0
PartialOrder__Hamming__2,br,0,0,8,8,BinaryVector,micro_precision,0.1
PartialOrder__Hamming__2,cc,0,0,8,8,BinaryVector,micro_precision,0.1
PartialOrder__Hamming__2,clr,0,0,8,8,BinaryVector,micro_precision,0.1
PartialOrder__Hamming__None,br,0,0,8,8,BinaryVector,micro_precision,0.1
PartialOrder__Hamming__None,cc,0,0,8,8,BinaryVector,micro_precision,0.1
PartialOrder__Hamming__None,clr,0,0,8,8,BinaryVector,micro_precision,0.1
PartialOrder__Subset__2,br,0,0,8,8,BinaryVector,micro_precision,0.1
PartialOrder__Subset__2,cc,0,0,8,8,BinaryVector,micro_precision,0.1
PartialOrder__Subset__2,clr,0,0,8,8,BinaryVector,micro_precision,0.1
PartialOrder__Subset__None,br,0,0,8,8,BinaryVector,micro_precision,0.1
PartialOrder__Subset__None,cc,0,0,8,8,BinaryVector,micro_precision,0.1
PartialOrder__Subset__None,clr,0,0,8,8,BinaryVector,micro_precision,0.1
PreOrder__Hamming__2,br,1,0,7,8,BinaryVector,micro_precision,0.1
PreOrder__Hamming__2,cc,1,0,7,8,BinaryVector,micro_precision,0.1
PreOrder__Hamming__2,clr,0,0,8,8,BinaryVector,micro_precision,0.1
PreOrder__Hamming__None,br,0,0,8,8,BinaryVector,micro_precision,0.1
PreOrder__Hamming__None,cc,0,0,8,8,BinaryVector,micro_precision,0.1
PreOrder__Hamming__None,clr,0,0,8,8,BinaryVector,micro_precision,0.1
PreOrder__Subset__2,br,1,0,7,8,BinaryVector,micro_precision,0.1
PreOrder__Subset__2,cc,1,0,7,8,BinaryVector,micro_precision,0.1
PreOrder__Subset__2,clr,0,0,8,8,BinaryVector,micro_precision,0.1
PreOrder__Subset__None,br,0,0,8,8,BinaryVector,micro_precision,0.1
PreOrder__Subset__None,cc,0,0,8,8,BinaryVector,micro_precision,0.1
PreOrder__Subset__None,clr,0,0,8,8,BinaryVector,micro_precision,0.1
ecc,br,5,0,3,8,BinaryVector,micro_precision,0.1
ecc,cc,8,0,0,8,BinaryVector,micro_precision,0.1
ecc,clr,1,0,7,8,BinaryVector,micro_precision,0.1
lp,br,0,0,8,8,BinaryVector,micro_precision,0.1
lp,cc,0,0,8,8,BinaryVector,micro_precision,0.1
lp,clr,1,0,7,8,BinaryVector,micro_precision,0.1
mlknn,br,0,0,8,8,BinaryVector,micro_precision,0.1
mlknn,cc,0,0,8,8,BinaryVector,micro_precision,0.1
mlknn,clr,1,0,7,8,BinaryVector,micro_precision,0.1
PartialOrder__Hamming__2,br,0,0,8,8,BinaryVector,micro_precision,0.2
PartialOrder__Hamming__2,cc,0,0,8,8,BinaryVector,micro_precision,0.2
PartialOrder__Hamming__2,clr,0,0,8,8,BinaryVector,micro_precision,0.2
PartialOrder__Hamming__None,br,0,0,8,8,BinaryVector,micro_precision,0.2
PartialOrder__Hamming__None,cc,0,0,8,8,BinaryVector,micro_precision,0.2
PartialOrder__Hamming__None,clr,0,0,8,8,BinaryVector,micro_precision,0.2
PartialOrder__Subset__2,br,0,0,8,8,BinaryVector,micro_precision,0.2
PartialOrder__Subset__2,cc,0,0,8,8,BinaryVector,micro_precision,0.2
PartialOrder__Subset__2,clr,0,0,8,8,BinaryVector,micro_precision,0.2
PartialOrder__Subset__None,br,0,0,8,8,BinaryVector,micro_precision,0.2
PartialOrder__Subset__None,cc,0,0,8,8,BinaryVector,micro_precision,0.2
PartialOrder__Subset__None,clr,0,0,8,8,BinaryVector,micro_precision,0.2
PreOrder__Hamming__2,br,1,0,7,8,BinaryVector,micro_precision,0.2
PreOrder__Hamming__2,cc,1,0,7,8,BinaryVector,micro_precision,0.2
PreOrder__Hamming__2,clr,0,0,8,8,BinaryVector,micro_precision,0.2
PreOrder__Hamming__None,br,0,0,8,8,BinaryVector,micro_precision,0.2
PreOrder__Hamming__None,cc,0,0,8,8,BinaryVector,micro_precision,0.2
PreOrder__Hamming__None,clr,0,0,8,8,BinaryVector,micro_precision,0.2
PreOrder__Subset__2,br,1,0,7,8,BinaryVector,micro_precision,0.2
PreOrder__Subset__2,cc,1,0,7,8,BinaryVector,micro_precision,0.2
PreOrder__Subset__2,clr,0,0,8,8,BinaryVector,micro_precision,0.2
PreOrder__Subset__None,br,0,0,8,8,BinaryVector,micro_precision,0.2
PreOrder__Subset__None,cc,0,0,8,8,BinaryVector,micro_precision,0.2
PreOrder__Subset__None,clr,0,0,8,8,BinaryVector,micro_precision,0.2
ecc,br,8,0,0,8,BinaryVector,micro_precision,0.2
ecc,cc,8,0,0,8,BinaryVector,micro_precision,0.2
ecc,clr,1,0,7,8,BinaryVector,micro_precision,0.2
lp,br,0,0,8,8,BinaryVector,micro_precision,0.2
lp,cc,0,0,8,8,BinaryVector,micro_precision,0.2
lp,clr,0,0,8,8,BinaryVector,micro_precision,0.2
mlknn,br,0,0,8,8,BinaryVector,micro_precision,0.2
mlknn,cc,0,0,8,8,BinaryVector,micro_precision,0.2
mlknn,clr,0,0,8,8,BinaryVector,micro_precision,0.2
PartialOrder__Hamming__2,br,0,0,8,8,BinaryVector,micro_precision,0.3
PartialOrder__Hamming__2,cc,0,0,8,8,BinaryVector,micro_precision,0.3
PartialOrder__Hamming__2,clr,0,0,8,8,BinaryVector,micro_precision,0.3
PartialOrder__Hamming__None,br,0,0,8,8,BinaryVector,micro_precision,0.3
PartialOrder__Hamming__None,cc,0,0,8,8,BinaryVector,micro_precision,0.3
PartialOrder__Hamming__None,clr,0,0,8,8,BinaryVector,micro_precision,0.3
PartialOrder__Subset__2,br,0,0,8,8,BinaryVector,micro_precision,0.3
PartialOrder__Subset__2,cc,0,0,8,8,BinaryVector,micro_precision,0.3
PartialOrder__Subset__2,clr,0,0,8,8,BinaryVector,micro_precision,0.3
PartialOrder__Subset__None,br,0,0,8,8,BinaryVector,micro_precision,0.3
PartialOrder__Subset__None,cc,0,0,8,8,BinaryVector,micro_precision,0.3
PartialOrder__Subset__None,clr,0,0,8,8,BinaryVector,micro_precision,0.3
PreOrder__Hamming__2,br,0,0,8,8,BinaryVector,micro_precision,0.3
PreOrder__Hamming__2,cc,1,0,7,8,BinaryVector,micro_precision,0.3
PreOrder__Hamming__2,clr,0,0,8,8,BinaryVector,micro_precision,0.3
PreOrder__Hamming__None,br,0,0,8,8,BinaryVector,micro_precision,0.3
PreOrder__Hamming__None,cc,0,0,8,8,BinaryVector,micro_precision,0.3
PreOrder__Hamming__None,clr,0,0,8,8,BinaryVector,micro_precision,0.3
PreOrder__Subset__2,br,0,0,8,8,BinaryVector,micro_precision,0.3
PreOrder__Subset__2,cc,0,0,8,8,BinaryVector,micro_precision,0.3
PreOrder__Subset__2,clr,0,0,8,8,BinaryVector,micro_precision,0.3
PreOrder__Subset__None,br,0,0,8,8,BinaryVector,micro_precision,0.3
PreOrder__Subset__None,cc,0,0,8,8,BinaryVector,micro_precision,0.3
PreOrder__Subset__None,clr,0,0,8,8,BinaryVector,micro_precision,0.3
ecc,br,8,0,0,8,BinaryVector,micro_precision,0.3
ecc,cc,8,0,0,8,BinaryVector,micro_precision,0.3
ecc,clr,0,0,8,8,BinaryVector,micro_precision,0.3
lp,br,0,0,8,8,BinaryVector,micro_precision,0.3
lp,cc,0,0,8,8,BinaryVector,micro_precision,0.3
lp,clr,0,0,8,8,BinaryVector,micro_precision,0.3
mlknn,br,0,0,8,8,BinaryVector,micro_precision,0.3
mlknn,cc,0,0,8,8,BinaryVector,micro_precision,0.3
mlknn,clr,0,0,8,8,BinaryVector,micro_precision,0.3
PartialOrder__Hamming__2,br,8,0,0,8,BinaryVector,micro_recall,0.0
PartialOrder__Hamming__2,cc,8,0,0,8,BinaryVector,micro_recall,0.0
PartialOrder__Hamming__2,clr,8,0,0,8,BinaryVector,micro_recall,0.0
PartialOrder__Hamming__None,br,8,0,0,8,BinaryVector,micro_recall,0.0
PartialOrder__Hamming__None,cc,8,0,0,8,BinaryVector,micro_recall,0.0
PartialOrder__Hamming__None,clr,8,0,0,8,BinaryVector,micro_recall,0.0
PartialOrder__Subset__2,br,8,0,0,8,BinaryVector,micro_recall,0.0
PartialOrder__Subset__2,cc,8,0,0,8,BinaryVector,micro_recall,0.0
PartialOrder__Subset__2,clr,8,0,0,8,BinaryVector,micro_recall,0.0
PartialOrder__Subset__None,br,8,0,0,8,BinaryVector,micro_recall,0.0
PartialOrder__Subset__None,cc,8,0,0,8,BinaryVector,micro_recall,0.0
PartialOrder__Subset__None,clr,8,0,0,8,BinaryVector,micro_recall,0.0
PreOrder__Hamming__2,br,7,0,1,8,BinaryVector,micro_recall,0.0
PreOrder__Hamming__2,cc,7,0,1,8,BinaryVector,micro_recall,0.0
PreOrder__Hamming__2,clr,8,0,0,8,BinaryVector,micro_recall,0.0
PreOrder__Hamming__None,br,8,0,0,8,BinaryVector,micro_recall,0.0
PreOrder__Hamming__None,cc,8,0,0,8,BinaryVector,micro_recall,0.0
PreOrder__Hamming__None,clr,8,0,0,8,BinaryVector,micro_recall,0.0
PreOrder__Subset__2,br,6,0,2,8,BinaryVector,micro_recall,0.0
PreOrder__Subset__2,cc,6,0,2,8,BinaryVector,micro_recall,0.0
PreOrder__Subset__2,clr,8,0,0,8,BinaryVector,micro_recall,0.0
PreOrder__Subset__None,br,8,0,0,8,BinaryVector,micro_recall,0.0
PreOrder__Subset__None,cc,8,0,0,8,BinaryVector,micro_recall,0.0
PreOrder__Subset__None,clr,8,0,0,8,BinaryVector,micro_recall,0.0
ecc,br,3,1,4,8,BinaryVector,micro_recall,0.0
ecc,cc,3,0,5,8,BinaryVector,micro_recall,0.0
ecc,clr,8,0,0,8,BinaryVector,micro_recall,0.0
lp,br,8,0,0,8,BinaryVector,micro_recall,0.0
lp,cc,7,0,1,8,BinaryVector,micro_recall,0.0
lp,clr,8,0,0,8,BinaryVector,micro_recall,0.0
mlknn,br,5,0,3,8,BinaryVector,micro_recall,0.0
mlknn,cc,6,0,2,8,BinaryVector,micro_recall,0.0
mlknn,clr,8,0,0,8,BinaryVector,micro_recall,0.0
PartialOrder__Hamming__2,br,8,0,0,8,BinaryVector,micro_recall,0.1
PartialOrder__Hamming__2,cc,8,0,0,8,BinaryVector,micro_recall,0.1
PartialOrder__Hamming__2,clr,8,0,0,8,BinaryVector,micro_recall,0.1
PartialOrder__Hamming__None,br,8,0,0,8,BinaryVector,micro_recall,0.1
PartialOrder__Hamming__None,cc,8,0,0,8,BinaryVector,micro_recall,0.1
PartialOrder__Hamming__None,clr,8,0,0,8,BinaryVector,micro_recall,0.1
PartialOrder__Subset__2,br,8,0,0,8,BinaryVector,micro_recall,0.1
PartialOrder__Subset__2,cc,8,0,0,8,BinaryVector,micro_recall,0.1
PartialOrder__Subset__2,clr,8,0,0,8,BinaryVector,micro_recall,0.1
PartialOrder__Subset__None,br,8,0,0,8,BinaryVector,micro_recall,0.1
PartialOrder__Subset__None,cc,8,0,0,8,BinaryVector,micro_recall,0.1
PartialOrder__Subset__None,clr,8,0,0,8,BinaryVector,micro_recall,0.1
PreOrder__Hamming__2,br,7,0,1,8,BinaryVector,micro_recall,0.1
PreOrder__Hamming__2,cc,7,0,1,8,BinaryVector,micro_recall,0.1
PreOrder__Hamming__2,clr,8,0,0,8,BinaryVector,micro_recall,0.1
PreOrder__Hamming__None,br,8,0,0,8,BinaryVector,micro_recall,0.1
PreOrder__Hamming__None,cc,8,0,0,8,BinaryVector,micro_recall,0.1
PreOrder__Hamming__None,clr,8,0,0,8,BinaryVector,micro_recall,0.1
PreOrder__Subset__2,br,6,0,2,8,BinaryVector,micro_recall,0.1
PreOrder__Subset__2,cc,6,0,2,8,BinaryVector,micro_recall,0.1
PreOrder__Subset__2,clr,8,0,0,8,BinaryVector,micro_recall,0.1
PreOrder__Subset__None,br,8,0,0,8,BinaryVector,micro_recall,0.1
PreOrder__Subset__None,cc,8,0,0,8,BinaryVector,micro_recall,0.1
PreOrder__Subset__None,clr,8,0,0,8,BinaryVector,micro_recall,0.1
ecc,br,5,0,3,8,BinaryVector,micro_recall,0.1
ecc,cc,4,0,4,8,BinaryVector,micro_recall,0.1
ecc,clr,8,0,0,8,BinaryVector,micro_recall,0.1
lp,br,8,0,0,8,BinaryVector,micro_recall,0.1
lp,cc,8,0,0,8,BinaryVector,micro_recall,0.1
lp,clr,8,0,0,8,BinaryVector,micro_recall,0.1
mlknn,br,5,0,3,8,BinaryVector,micro_recall,0.1
mlknn,cc,6,0,2,8,BinaryVector,micro_recall,0.1
mlknn,clr,8,0,0,8,BinaryVector,micro_recall,0.1
PartialOrder__Hamming__2,br,8,0,0,8,BinaryVector,micro_recall,0.2
PartialOrder__Hamming__2,cc,8,0,0,8,BinaryVector,micro_recall,0.2
PartialOrder__Hamming__2,clr,8,0,0,8,BinaryVector,micro_recall,0.2
PartialOrder__Hamming__None,br,8,0,0,8,BinaryVector,micro_recall,0.2
PartialOrder__Hamming__None,cc,8,0,0,8,BinaryVector,micro_recall,0.2
PartialOrder__Hamming__None,clr,8,0,0,8,BinaryVector,micro_recall,0.2
PartialOrder__Subset__2,br,8,0,0,8,BinaryVector,micro_recall,0.2
PartialOrder__Subset__2,cc,8,0,0,8,BinaryVector,micro_recall,0.2
PartialOrder__Subset__2,clr,8,0,0,8,BinaryVector,micro_recall,0.2
PartialOrder__Subset__None,br,8,0,0,8,BinaryVector,micro_recall,0.2
PartialOrder__Subset__None,cc,8,0,0,8,BinaryVector,micro_recall,0.2
PartialOrder__Subset__None,clr,8,0,0,8,BinaryVector,micro_recall,0.2
PreOrder__Hamming__2,br,7,0,1,8,BinaryVector,micro_recall,0.2
PreOrder__Hamming__2,cc,7,0,1,8,BinaryVector,micro_recall,0.2
PreOrder__Hamming__2,clr,8,0,0,8,BinaryVector,micro_recall,0.2
PreOrder__Hamming__None,br,8,0,0,8,BinaryVector,micro_recall,0.2
PreOrder__Hamming__None,cc,8,0,0,8,BinaryVector,micro_recall,0.2
PreOrder__Hamming__None,clr,8,0,0,8,BinaryVector,micro_recall,0.2
PreOrder__Subset__2,br,6,0,2,8,BinaryVector,micro_recall,0.2
PreOrder__Subset__2,cc,6,0,2,8,BinaryVector,micro_recall,0.2
PreOrder__Subset__2,clr,8,0,0,8,BinaryVector,micro_recall,0.2
PreOrder__Subset__None,br,8,0,0,8,BinaryVector,micro_recall,0.2
PreOrder__Subset__None,cc,8,0,0,8,BinaryVector,micro_recall,0.2
PreOrder__Subset__None,clr,8,0,0,8,BinaryVector,micro_recall,0.2
ecc,br,4,0,4,8,BinaryVector,micro_recall,0.2
ecc,cc,4,0,4,8,BinaryVector,micro_recall,0.2
ecc,clr,8,0,0,8,BinaryVector,micro_recall,0.2
lp,br,7,0,1,8,BinaryVector,micro_recall,0.2
lp,cc,7,0,1,8,BinaryVector,micro_recall,0.2
lp,clr,8,0,0,8,BinaryVector,micro_recall,0.2
mlknn,br,5,0,3,8,BinaryVector,micro_recall,0.2
mlknn,cc,6,0,2,8,BinaryVector,micro_recall,0.2
mlknn,clr,8,0,0,8,BinaryVector,micro_recall,0.2
PartialOrder__Hamming__2,br,8,0,0,8,BinaryVector,micro_recall,0.3
PartialOrder__Hamming__2,cc,8,0,0,8,BinaryVector,micro_recall,0.3
PartialOrder__Hamming__2,clr,8,0,0,8,BinaryVector,micro_recall,0.3
PartialOrder__Hamming__None,br,8,0,0,8,BinaryVector,micro_recall,0.3
PartialOrder__Hamming__None,cc,8,0,0,8,BinaryVector,micro_recall,0.3
PartialOrder__Hamming__None,clr,8,0,0,8,BinaryVector,micro_recall,0.3
PartialOrder__Subset__2,br,8,0,0,8,BinaryVector,micro_recall,0.3
PartialOrder__Subset__2,cc,8,0,0,8,BinaryVector,micro_recall,0.3
PartialOrder__Subset__2,clr,8,0,0,8,BinaryVector,micro_recall,0.3
PartialOrder__Subset__None,br,8,0,0,8,BinaryVector,micro_recall,0.3
PartialOrder__Subset__None,cc,8,0,0,8,BinaryVector,micro_recall,0.3
PartialOrder__Subset__None,clr,8,0,0,8,BinaryVector,micro_recall,0.3
PreOrder__Hamming__2,br,7,0,1,8,BinaryVector,micro_recall,0.3
PreOrder__Hamming__2,cc,7,0,1,8,BinaryVector,micro_recall,0.3
PreOrder__Hamming__2,clr,8,0,0,8,BinaryVector,micro_recall,0.3
PreOrder__Hamming__None,br,8,0,0,8,BinaryVector,micro_recall,0.3
PreOrder__Hamming__None,cc,8,0,0,8,BinaryVector,micro_recall,0.3
PreOrder__Hamming__None,clr,8,0,0,8,BinaryVector,micro_recall,0.3
PreOrder__Subset__2,br,6,0,2,8,BinaryVector,micro_recall,0.3
PreOrder__Subset__2,cc,6,0,2,8,BinaryVector,micro_recall,0.3
PreOrder__Subset__2,clr,8,0,0,8,BinaryVector,micro_recall,0.3
PreOrder__Subset__None,br,8,0,0,8,BinaryVector,micro_recall,0.3
PreOrder__Subset__None,cc,8,0,0,8,BinaryVector,micro_recall,0.3
PreOrder__Subset__None,clr,8,0,0,8,BinaryVector,micro_recall,0.3
ecc,br,5,0,3,8,BinaryVector,micro_recall,0.3
ecc,cc,5,0,3,8,BinaryVector,micro_recall,0.3
ecc,clr,8,0,0,8,BinaryVector,micro_recall,0.3
lp,br,5,0,3,8,BinaryVector,micro_recall,0.3
lp,cc,5,0,3,8,BinaryVector,micro_recall,0.3
lp,clr,8,0,0,8,BinaryVector,micro_recall,0.3
mlknn,br,5,0,3,8,BinaryVector,micro_recall,0.3
mlknn,cc,6,0,2,8,BinaryVector,micro_recall,0.3
mlknn,clr,8,0,0,8,BinaryVector,micro_recall,0.3
PartialOrder__Hamming__2,br,2,0,6,8,BinaryVector,subset0_1,0.0
PartialOrder__Hamming__2,cc,1,0,7,8,BinaryVector,subset0_1,0.0
PartialOrder__Hamming__2,clr,7,0,1,8,BinaryVector,subset0_1,0.0
PartialOrder__Hamming__None,br,2,0,6,8,BinaryVector,subset0_1,0.0
PartialOrder__Hamming__None,cc,0,0,8,8,BinaryVector,subset0_1,0.0
PartialOrder__Hamming__None,clr,7,0,1,8,BinaryVector,subset0_1,0.0
PartialOrder__Subset__2,br,2,0,6,8,BinaryVector,subset0_1,0.0
PartialOrder__Subset__2,cc,1,0,7,8,BinaryVector,subset0_1,0.0
PartialOrder__Subset__2,clr,7,0,1,8,BinaryVector,subset0_1,0.0
PartialOrder__Subset__None,br,2,0,6,8,BinaryVector,subset0_1,0.0
PartialOrder__Subset__None,cc,0,0,8,8,BinaryVector,subset0_1,0.0
PartialOrder__Subset__None,clr,7,0,1,8,BinaryVector,subset0_1,0.0
PreOrder__Hamming__2,br,2,0,6,8,BinaryVector,subset0_1,0.0
PreOrder__Hamming__2,cc,1,0,7,8,BinaryVector,subset0_1,0.0
PreOrder__Hamming__2,clr,8,0,0,8,BinaryVector,subset0_1,0.0
PreOrder__Hamming__None,br,2,0,6,8,BinaryVector,subset0_1,0.0
PreOrder__Hamming__None,cc,0,0,8,8,BinaryVector,subset0_1,0.0
PreOrder__Hamming__None,clr,7,0,1,8,BinaryVector,subset0_1,0.0
PreOrder__Subset__2,br,1,0,7,8,BinaryVector,subset0_1,0.0
PreOrder__Subset__2,cc,1,0,7,8,BinaryVector,subset0_1,0.0
PreOrder__Subset__2,clr,8,0,0,8,BinaryVector,subset0_1,0.0
PreOrder__Subset__None,br,2,0,6,8,BinaryVector,subset0_1,0.0
PreOrder__Subset__None,cc,0,0,8,8,BinaryVector,subset0_1,0.0
PreOrder__Subset__None,clr,7,0,1,8,BinaryVector,subset0_1,0.0
ecc,br,4,1,3,8,BinaryVector,subset0_1,0.0
ecc,cc,2,0,6,8,BinaryVector,subset0_1,0.0
ecc,clr,8,0,0,8,BinaryVector,subset0_1,0.0
lp,br,7,0,1,8,BinaryVector,subset0_1,0.0
lp,cc,7,0,1,8,BinaryVector,subset0_1,0.0
lp,clr,7,0,1,8,BinaryVector,subset0_1,0.0
mlknn,br,5,0,3,8,BinaryVector,subset0_1,0.0
mlknn,cc,5,0,3,8,BinaryVector,subset0_1,0.0
mlknn,clr,8,0,0,8,BinaryVector,subset0_1,0.0
PartialOrder__Hamming__2,br,1,0,7,8,BinaryVector,subset0_1,0.1
PartialOrder__Hamming__2,cc,1,0,7,8,BinaryVector,subset0_1,0.1
PartialOrder__Hamming__2,clr,7,0,1,8,BinaryVector,subset0_1,0.1
PartialOrder__Hamming__None,br,1,0,7,8,BinaryVector,subset0_1,0.1
PartialOrder__Hamming__None,cc,1,0,7,8,BinaryVector,subset0_1,0.1
PartialOrder__Hamming__None,clr,7,0,1,8,BinaryVector,subset0_1,0.1
PartialOrder__Subset__2,br,1,0,7,8,BinaryVector,subset0_1,0.1
PartialOrder__Subset__2,cc,1,0,7,8,BinaryVector,subset0_1,0.1
PartialOrder__Subset__2,clr,7,0,1,8,BinaryVector,subset0_1,0.1
PartialOrder__Subset__None,br,1,0,7,8,BinaryVector,subset0_1,0.1
PartialOrder__Subset__None,cc,1,0,7,8,BinaryVector,subset0_1,0.1
PartialOrder__Subset__None,clr,7,0,1,8,BinaryVector,subset0_1,0.1
PreOrder__Hamming__2,br,2,0,6,8,BinaryVector,subset0_1,0.1
PreOrder__Hamming__2,cc,1,0,7,8,BinaryVector,subset0_1,0.1
PreOrder__Hamming__2,clr,7,0,1,8,BinaryVector,subset0_1,0.1
PreOrder__Hamming__None,br,1,0,7,8,BinaryVector,subset0_1,0.1
PreOrder__Hamming__None,cc,0,0,8,8,BinaryVector,subset0_1,0.1
PreOrder__Hamming__None,clr,7,0,1,8,BinaryVector,subset0_1,0.1
PreOrder__Subset__2,br,0,0,8,8,BinaryVector,subset0_1,0.1
PreOrder__Subset__2,cc,0,0,8,8,BinaryVector,subset0_1,0.1
PreOrder__Subset__2,clr,7,0,1,8,BinaryVector,subset0_1,0.1
PreOrder__Subset__None,br,1,0,7,8,BinaryVector,subset0_1,0.1
PreOrder__Subset__None,cc,0,0,8,8,BinaryVector,subset0_1,0.1
PreOrder__Subset__None,clr,7,0,1,8,BinaryVector,subset0_1,0.1
ecc,br,4,1,3,8,BinaryVector,subset0_1,0.1
ecc,cc,5,0,3,8,BinaryVector,subset0_1,0.1
ecc,clr,8,0,0,8,BinaryVector,subset0_1,0.1
lp,br,6,0,2,8,BinaryVector,subset0_1,0.1
lp,cc,6,0,2,8,BinaryVector,subset0_1,0.1
lp,clr,7,0,1,8,BinaryVector,subset0_1,0.1
mlknn,br,5,0,3,8,BinaryVector,subset0_1,0.1
mlknn,cc,5,0,3,8,BinaryVector,subset0_1,0.1
mlknn,clr,6,0,2,8,BinaryVector,subset0_1,0.1
PartialOrder__Hamming__2,br,1,0,7,8,BinaryVector,subset0_1,0.2
PartialOrder__Hamming__2,cc,0,0,8,8,BinaryVector,subset0_1,0.2
PartialOrder__Hamming__2,clr,2,0,6,8,BinaryVector,subset0_1,0.2
PartialOrder__Hamming__None,br,1,0,7,8,BinaryVector,subset0_1,0.2
PartialOrder__Hamming__None,cc,0,0,8,8,BinaryVector,subset0_1,0.2
PartialOrder__Hamming__None,clr,2,0,6,8,BinaryVector,subset0_1,0.2
PartialOrder__Subset__2,br,1,0,7,8,BinaryVector,subset0_1,0.2
PartialOrder__Subset__2,cc,0,0,8,8,BinaryVector,subset0_1,0.2
PartialOrder__Subset__2,clr,2,0,6,8,BinaryVector,subset0_1,0.2
PartialOrder__Subset__None,br,1,0,7,8,BinaryVector,subset0_1,0.2
PartialOrder__Subset__None,cc,0,0,8,8,BinaryVector,subset0_1,0.2
PartialOrder__Subset__None,clr,2,0,6,8,BinaryVector,subset0_1,0.2
PreOrder__Hamming__2,br,2,0,6,8,BinaryVector,subset0_1,0.2
PreOrder__Hamming__2,cc,0,0,8,8,BinaryVector,subset0_1,0.2
PreOrder__Hamming__2,clr,5,0,3,8,BinaryVector,subset0_1,0.2
PreOrder__Hamming__None,br,1,0,7,8,BinaryVector,subset0_1,0.2
PreOrder__Hamming__None,cc,0,0,8,8,BinaryVector,subset0_1,0.2
PreOrder__Hamming__None,clr,5,0,3,8,BinaryVector,subset0_1,0.2
PreOrder__Subset__2,br,2,0,6,8,BinaryVector,subset0_1,0.2
PreOrder__Subset__2,cc,0,0,8,8,BinaryVector,subset0_1,0.2
PreOrder__Subset__2,clr,5,0,3,8,BinaryVector,subset0_1,0.2
PreOrder__Subset__None,br,1,0,7,8,BinaryVector,subset0_1,0.2
PreOrder__Subset__None,cc,0,0,8,8,BinaryVector,subset0_1,0.2
PreOrder__Subset__None,clr,5,0,3,8,BinaryVector,subset0_1,0.2
ecc,br,5,0,3,8,BinaryVector,subset0_1,0.2
ecc,cc,5,0,3,8,BinaryVector,subset0_1,0.2
ecc,clr,7,0,1,8,BinaryVector,subset0_1,0.2
lp,br,4,0,4,8,BinaryVector,subset0_1,0.2
lp,cc,4,0,4,8,BinaryVector,subset0_1,0.2
lp,clr,7,0,1,8,BinaryVector,subset0_1,0.2
mlknn,br,2,0,6,8,BinaryVector,subset0_1,0.2
mlknn,cc,2,0,6,8,BinaryVector,subset0_1,0.2
mlknn,clr,6,0,2,8,BinaryVector,subset0_1,0.2
PartialOrder__Hamming__2,br,0,0,8,8,BinaryVector,subset0_1,0.3
PartialOrder__Hamming__2,cc,0,0,8,8,BinaryVector,subset0_1,0.3
PartialOrder__Hamming__2,clr,1,0,7,8,BinaryVector,subset0_1,0.3
PartialOrder__Hamming__None,br,0,0,8,8,BinaryVector,subset0_1,0.3
PartialOrder__Hamming__None,cc,0,0,8,8,BinaryVector,subset0_1,0.3
PartialOrder__Hamming__None,clr,1,0,7,8,BinaryVector,subset0_1,0.3
PartialOrder__Subset__2,br,0,0,8,8,BinaryVector,subset0_1,0.3
PartialOrder__Subset__2,cc,0,0,8,8,BinaryVector,subset0_1,0.3
PartialOrder__Subset__2,clr,1,0,7,8,BinaryVector,subset0_1,0.3
PartialOrder__Subset__None,br,0,0,8,8,BinaryVector,subset0_1,0.3
PartialOrder__Subset__None,cc,0,0,8,8,BinaryVector,subset0_1,0.3
PartialOrder__Subset__None,clr,1,0,7,8,BinaryVector,subset0_1,0.3
PreOrder__Hamming__2,br,0,0,8,8,BinaryVector,subset0_1,0.3
PreOrder__Hamming__2,cc,0,0,8,8,BinaryVector,subset0_1,0.3
PreOrder__Hamming__2,clr,5,0,3,8,BinaryVector,subset0_1,0.3
PreOrder__Hamming__None,br,0,0,8,8,BinaryVector,subset0_1,0.3
PreOrder__Hamming__None,cc,0,0,8,8,BinaryVector,subset0_1,0.3
PreOrder__Hamming__None,clr,3,0,5,8,BinaryVector,subset0_1,0.3
PreOrder__Subset__2,br,0,0,8,8,BinaryVector,subset0_1,0.3
PreOrder__Subset__2,cc,0,0,8,8,BinaryVector,subset0_1,0.3
PreOrder__Subset__2,clr,5,0,3,8,BinaryVector,subset0_1,0.3
PreOrder__Subset__None,br,0,0,8,8,BinaryVector,subset0_1,0.3
PreOrder__Subset__None,cc,0,0,8,8,BinaryVector,subset0_1,0.3
PreOrder__Subset__None,clr,3,0,5,8,BinaryVector,subset0_1,0.3
ecc,br,4,0,4,8,BinaryVector,subset0_1,0.3
